what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1348996490951
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1348996490951
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.0.v20100525,"org.eclipse.equinox.p2.reconciler.dropins",1348996490951
started,bundle,org.eclipse.equinox.p2.repository,2.0.0.v20100519,"org.eclipse.equinox.p2.repository",1348996490951
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1348996490952
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.100.v20100503a,"org.eclipse.equinox.p2.updatechecker",1348996490952
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1348996490952
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1348996490952
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1348996490952
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1348996490953
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1348996490953
started,bundle,org.eclipse.jdt.core,3.6.0.v_A58,"org.eclipse.jdt.core",1348996490953
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1348996490953
started,bundle,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui",1348996490953
started,bundle,org.eclipse.jface,3.6.0.I20100601-0800,"org.eclipse.jface",1348996490953
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1348996490953
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1348996490953
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1348996490954
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1348996490954
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1348996490954
started,bundle,org.eclipse.mylyn.commons.net,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.net",1348996490954
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1348996490954
started,bundle,org.eclipse.mylyn.context.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.core",1348996490954
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.ui",1348996490954
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1348996490954
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1348996490954
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1348996490954
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1348996490954
started,bundle,org.eclipse.team.core,3.5.100.I20100527-0800,"org.eclipse.team.core",1348996490954
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1348996490955
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1348996490955
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1348996490955
started,bundle,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui",1348996490955
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1348996490955
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1348996490955
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1348996490955
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1348996490955
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1348996490955
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1348996490955
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1348996490955
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1348996490955
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1348996490956
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1348996490956
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1348996490957
started,bundle,com.android.ide.eclipse.adt,0.9.7.v201005071157-36220,"com.android.ide.eclipse.adt",1348996490957
started,bundle,com.android.ide.eclipse.ddms,0.9.7.v201005071157-36220,"com.android.ide.eclipse.ddms",1348996490957
os,sysinfo,,,"win32",1348996490959
arch,sysinfo,,,"x86_64",1348996490959
ws,sysinfo,,,"win32",1348996490959
locale,sysinfo,,,"ru_RU",1348996490959
processors,sysinfo,,,"4",1348996490959
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1348996490959
java.runtime.version,sysinfo,,,"1.7.0_07-b11",1348996490959
java.specification.name,sysinfo,,,"Java Platform API Specification",1348996490959
java.specification.vendor,sysinfo,,,"Oracle Corporation",1348996490959
java.specification.version,sysinfo,,,"1.7",1348996490959
java.vendor,sysinfo,,,"Oracle Corporation",1348996490959
java.version,sysinfo,,,"1.7.0_07",1348996490959
java.vm.info,sysinfo,,,"mixed mode",1348996490959
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1348996490959
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1348996490959
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1348996490959
java.vm.specification.version,sysinfo,,,"1.7",1348996490959
java.vm.vendor,sysinfo,,,"Oracle Corporation",1348996490959
java.vm.version,sysinfo,,,"23.3-b01",1348996490959
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1348996492032
